[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bme001/20225898/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_projector.bias', 'vocab_transform.bias', 'vocab_transform.weight', 'vocab_layer_norm.bias', 'vocab_projector.weight', 'vocab_layer_norm.weight']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
[0]	validation_0-merror:0.64762	validation_0-mlogloss:5.21166	validation_1-merror:0.71191	validation_1-mlogloss:5.29934
[433]	validation_0-merror:0.00624	validation_0-mlogloss:0.08841	validation_1-merror:0.42992	validation_1-mlogloss:1.90213
[434]	validation_0-merror:0.00624	validation_0-mlogloss:0.08833	validation_1-merror:0.42992	validation_1-mlogloss:1.90202
[435]	validation_0-merror:0.00624	validation_0-mlogloss:0.08824	validation_1-merror:0.42992	validation_1-mlogloss:1.90191
[436]	validation_0-merror:0.00624	validation_0-mlogloss:0.08816	validation_1-merror:0.42992	validation_1-mlogloss:1.90176
[437]	validation_0-merror:0.00624	validation_0-mlogloss:0.08808	validation_1-merror:0.42964	validation_1-mlogloss:1.90165
[438]	validation_0-merror:0.00624	validation_0-mlogloss:0.08804	validation_1-merror:0.42992	validation_1-mlogloss:1.90162
[439]	validation_0-merror:0.00624	validation_0-mlogloss:0.08798	validation_1-merror:0.43047	validation_1-mlogloss:1.90158
[440]	validation_0-merror:0.00624	validation_0-mlogloss:0.08791	validation_1-merror:0.43020	validation_1-mlogloss:1.90155
[441]	validation_0-merror:0.00624	validation_0-mlogloss:0.08783	validation_1-merror:0.43020	validation_1-mlogloss:1.90150
[442]	validation_0-merror:0.00624	validation_0-mlogloss:0.08776	validation_1-merror:0.43020	validation_1-mlogloss:1.90142
[443]	validation_0-merror:0.00624	validation_0-mlogloss:0.08769	validation_1-merror:0.43047	validation_1-mlogloss:1.90135
[444]	validation_0-merror:0.00624	validation_0-mlogloss:0.08762	validation_1-merror:0.43020	validation_1-mlogloss:1.90128
[445]	validation_0-merror:0.00624	validation_0-mlogloss:0.08755	validation_1-merror:0.43047	validation_1-mlogloss:1.90116
[446]	validation_0-merror:0.00624	validation_0-mlogloss:0.08748	validation_1-merror:0.43047	validation_1-mlogloss:1.90111
[447]	validation_0-merror:0.00624	validation_0-mlogloss:0.08743	validation_1-merror:0.43020	validation_1-mlogloss:1.90106
[448]	validation_0-merror:0.00624	validation_0-mlogloss:0.08735	validation_1-merror:0.43047	validation_1-mlogloss:1.90099
[449]	validation_0-merror:0.00624	validation_0-mlogloss:0.08729	validation_1-merror:0.43020	validation_1-mlogloss:1.90093
[450]	validation_0-merror:0.00624	validation_0-mlogloss:0.08721	validation_1-merror:0.43047	validation_1-mlogloss:1.90080
[451]	validation_0-merror:0.00624	validation_0-mlogloss:0.08714	validation_1-merror:0.42992	validation_1-mlogloss:1.90079
[452]	validation_0-merror:0.00624	validation_0-mlogloss:0.08708	validation_1-merror:0.43020	validation_1-mlogloss:1.90070
[453]	validation_0-merror:0.00624	validation_0-mlogloss:0.08702	validation_1-merror:0.42992	validation_1-mlogloss:1.90063
[454]	validation_0-merror:0.00624	validation_0-mlogloss:0.08697	validation_1-merror:0.43020	validation_1-mlogloss:1.90059
[455]	validation_0-merror:0.00624	validation_0-mlogloss:0.08691	validation_1-merror:0.43047	validation_1-mlogloss:1.90049
[456]	validation_0-merror:0.00624	validation_0-mlogloss:0.08684	validation_1-merror:0.43020	validation_1-mlogloss:1.90039
[457]	validation_0-merror:0.00624	validation_0-mlogloss:0.08677	validation_1-merror:0.43020	validation_1-mlogloss:1.90029
[458]	validation_0-merror:0.00624	validation_0-mlogloss:0.08669	validation_1-merror:0.42964	validation_1-mlogloss:1.90021
[459]	validation_0-merror:0.00624	validation_0-mlogloss:0.08664	validation_1-merror:0.43020	validation_1-mlogloss:1.90019
[460]	validation_0-merror:0.00624	validation_0-mlogloss:0.08658	validation_1-merror:0.43020	validation_1-mlogloss:1.90012
[461]	validation_0-merror:0.00624	validation_0-mlogloss:0.08652	validation_1-merror:0.42964	validation_1-mlogloss:1.90006
[462]	validation_0-merror:0.00624	validation_0-mlogloss:0.08647	validation_1-merror:0.43020	validation_1-mlogloss:1.90002
[463]	validation_0-merror:0.00624	validation_0-mlogloss:0.08643	validation_1-merror:0.43020	validation_1-mlogloss:1.89997
[464]	validation_0-merror:0.00624	validation_0-mlogloss:0.08638	validation_1-merror:0.43020	validation_1-mlogloss:1.89994
[465]	validation_0-merror:0.00624	validation_0-mlogloss:0.08632	validation_1-merror:0.43020	validation_1-mlogloss:1.89982
[466]	validation_0-merror:0.00624	validation_0-mlogloss:0.08627	validation_1-merror:0.43047	validation_1-mlogloss:1.89971
[467]	validation_0-merror:0.00624	validation_0-mlogloss:0.08621	validation_1-merror:0.43047	validation_1-mlogloss:1.89964
[468]	validation_0-merror:0.00624	validation_0-mlogloss:0.08617	validation_1-merror:0.43047	validation_1-mlogloss:1.89958
[469]	validation_0-merror:0.00624	validation_0-mlogloss:0.08612	validation_1-merror:0.43047	validation_1-mlogloss:1.89954
[470]	validation_0-merror:0.00624	validation_0-mlogloss:0.08607	validation_1-merror:0.43047	validation_1-mlogloss:1.89950
[471]	validation_0-merror:0.00624	validation_0-mlogloss:0.08602	validation_1-merror:0.43047	validation_1-mlogloss:1.89944
[472]	validation_0-merror:0.00624	validation_0-mlogloss:0.08595	validation_1-merror:0.43020	validation_1-mlogloss:1.89939
[473]	validation_0-merror:0.00624	validation_0-mlogloss:0.08591	validation_1-merror:0.42992	validation_1-mlogloss:1.89937
[474]	validation_0-merror:0.00624	validation_0-mlogloss:0.08587	validation_1-merror:0.42964	validation_1-mlogloss:1.89935
[475]	validation_0-merror:0.00624	validation_0-mlogloss:0.08583	validation_1-merror:0.42964	validation_1-mlogloss:1.89937
[476]	validation_0-merror:0.00624	validation_0-mlogloss:0.08579	validation_1-merror:0.43020	validation_1-mlogloss:1.89927
[477]	validation_0-merror:0.00624	validation_0-mlogloss:0.08575	validation_1-merror:0.42964	validation_1-mlogloss:1.89923
[478]	validation_0-merror:0.00624	validation_0-mlogloss:0.08570	validation_1-merror:0.42992	validation_1-mlogloss:1.89922
[479]	validation_0-merror:0.00624	validation_0-mlogloss:0.08566	validation_1-merror:0.42964	validation_1-mlogloss:1.89913
[480]	validation_0-merror:0.00619	validation_0-mlogloss:0.08560	validation_1-merror:0.42936	validation_1-mlogloss:1.89906
[481]	validation_0-merror:0.00614	validation_0-mlogloss:0.08555	validation_1-merror:0.42909	validation_1-mlogloss:1.89895
[482]	validation_0-merror:0.00614	validation_0-mlogloss:0.08553	validation_1-merror:0.42909	validation_1-mlogloss:1.89889
[483]	validation_0-merror:0.00619	validation_0-mlogloss:0.08548	validation_1-merror:0.42936	validation_1-mlogloss:1.89885
[484]	validation_0-merror:0.00614	validation_0-mlogloss:0.08543	validation_1-merror:0.42909	validation_1-mlogloss:1.89881
[485]	validation_0-merror:0.00614	validation_0-mlogloss:0.08539	validation_1-merror:0.42936	validation_1-mlogloss:1.89880
[486]	validation_0-merror:0.00614	validation_0-mlogloss:0.08535	validation_1-merror:0.42936	validation_1-mlogloss:1.89882
[487]	validation_0-merror:0.00610	validation_0-mlogloss:0.08530	validation_1-merror:0.42909	validation_1-mlogloss:1.89874
[488]	validation_0-merror:0.00610	validation_0-mlogloss:0.08526	validation_1-merror:0.42909	validation_1-mlogloss:1.89873
[489]	validation_0-merror:0.00610	validation_0-mlogloss:0.08520	validation_1-merror:0.42909	validation_1-mlogloss:1.89864
[490]	validation_0-merror:0.00610	validation_0-mlogloss:0.08516	validation_1-merror:0.42909	validation_1-mlogloss:1.89857
[491]	validation_0-merror:0.00610	validation_0-mlogloss:0.08513	validation_1-merror:0.42909	validation_1-mlogloss:1.89857
[492]	validation_0-merror:0.00610	validation_0-mlogloss:0.08506	validation_1-merror:0.42909	validation_1-mlogloss:1.89850
[493]	validation_0-merror:0.00610	validation_0-mlogloss:0.08503	validation_1-merror:0.42964	validation_1-mlogloss:1.89845
[494]	validation_0-merror:0.00605	validation_0-mlogloss:0.08498	validation_1-merror:0.42936	validation_1-mlogloss:1.89842
[495]	validation_0-merror:0.00605	validation_0-mlogloss:0.08492	validation_1-merror:0.42936	validation_1-mlogloss:1.89830
[496]	validation_0-merror:0.00605	validation_0-mlogloss:0.08489	validation_1-merror:0.42936	validation_1-mlogloss:1.89827
[497]	validation_0-merror:0.00605	validation_0-mlogloss:0.08485	validation_1-merror:0.42936	validation_1-mlogloss:1.89827
[498]	validation_0-merror:0.00605	validation_0-mlogloss:0.08483	validation_1-merror:0.42936	validation_1-mlogloss:1.89824
[499]	validation_0-merror:0.00605	validation_0-mlogloss:0.08479	validation_1-merror:0.42936	validation_1-mlogloss:1.89818
[500]	validation_0-merror:0.00605	validation_0-mlogloss:0.08476	validation_1-merror:0.42936	validation_1-mlogloss:1.89818
[501]	validation_0-merror:0.00605	validation_0-mlogloss:0.08472	validation_1-merror:0.42936	validation_1-mlogloss:1.89810
[502]	validation_0-merror:0.00605	validation_0-mlogloss:0.08469	validation_1-merror:0.42936	validation_1-mlogloss:1.89808
[503]	validation_0-merror:0.00605	validation_0-mlogloss:0.08465	validation_1-merror:0.42936	validation_1-mlogloss:1.89804
[504]	validation_0-merror:0.00601	validation_0-mlogloss:0.08462	validation_1-merror:0.42936	validation_1-mlogloss:1.89802
[505]	validation_0-merror:0.00601	validation_0-mlogloss:0.08457	validation_1-merror:0.42936	validation_1-mlogloss:1.89799
[506]	validation_0-merror:0.00601	validation_0-mlogloss:0.08455	validation_1-merror:0.42936	validation_1-mlogloss:1.89795
[507]	validation_0-merror:0.00601	validation_0-mlogloss:0.08453	validation_1-merror:0.42964	validation_1-mlogloss:1.89795
[508]	validation_0-merror:0.00605	validation_0-mlogloss:0.08449	validation_1-merror:0.42936	validation_1-mlogloss:1.89786
[509]	validation_0-merror:0.00601	validation_0-mlogloss:0.08444	validation_1-merror:0.42936	validation_1-mlogloss:1.89781
[510]	validation_0-merror:0.00601	validation_0-mlogloss:0.08441	validation_1-merror:0.42936	validation_1-mlogloss:1.89779
[511]	validation_0-merror:0.00601	validation_0-mlogloss:0.08439	validation_1-merror:0.42936	validation_1-mlogloss:1.89776
[512]	validation_0-merror:0.00601	validation_0-mlogloss:0.08437	validation_1-merror:0.42936	validation_1-mlogloss:1.89774
[513]	validation_0-merror:0.00601	validation_0-mlogloss:0.08433	validation_1-merror:0.42936	validation_1-mlogloss:1.89773
[514]	validation_0-merror:0.00601	validation_0-mlogloss:0.08431	validation_1-merror:0.42936	validation_1-mlogloss:1.89770
[515]	validation_0-merror:0.00601	validation_0-mlogloss:0.08427	validation_1-merror:0.42936	validation_1-mlogloss:1.89765
[516]	validation_0-merror:0.00601	validation_0-mlogloss:0.08423	validation_1-merror:0.42936	validation_1-mlogloss:1.89765
[517]	validation_0-merror:0.00601	validation_0-mlogloss:0.08420	validation_1-merror:0.42936	validation_1-mlogloss:1.89756
[518]	validation_0-merror:0.00601	validation_0-mlogloss:0.08419	validation_1-merror:0.42936	validation_1-mlogloss:1.89752
[519]	validation_0-merror:0.00601	validation_0-mlogloss:0.08416	validation_1-merror:0.42936	validation_1-mlogloss:1.89748
[520]	validation_0-merror:0.00601	validation_0-mlogloss:0.08413	validation_1-merror:0.42936	validation_1-mlogloss:1.89742
[521]	validation_0-merror:0.00601	validation_0-mlogloss:0.08410	validation_1-merror:0.42936	validation_1-mlogloss:1.89739
[522]	validation_0-merror:0.00601	validation_0-mlogloss:0.08408	validation_1-merror:0.42936	validation_1-mlogloss:1.89735
[523]	validation_0-merror:0.00596	validation_0-mlogloss:0.08407	validation_1-merror:0.42936	validation_1-mlogloss:1.89733
[524]	validation_0-merror:0.00596	validation_0-mlogloss:0.08404	validation_1-merror:0.42936	validation_1-mlogloss:1.89726
[525]	validation_0-merror:0.00596	validation_0-mlogloss:0.08402	validation_1-merror:0.42936	validation_1-mlogloss:1.89723
[526]	validation_0-merror:0.00601	validation_0-mlogloss:0.08399	validation_1-merror:0.42936	validation_1-mlogloss:1.89719
[527]	validation_0-merror:0.00596	validation_0-mlogloss:0.08398	validation_1-merror:0.42936	validation_1-mlogloss:1.89718
[528]	validation_0-merror:0.00596	validation_0-mlogloss:0.08395	validation_1-merror:0.42936	validation_1-mlogloss:1.89712
[529]	validation_0-merror:0.00596	validation_0-mlogloss:0.08393	validation_1-merror:0.42936	validation_1-mlogloss:1.89708
[530]	validation_0-merror:0.00596	validation_0-mlogloss:0.08388	validation_1-merror:0.42936	validation_1-mlogloss:1.89700
[531]	validation_0-merror:0.00596	validation_0-mlogloss:0.08387	validation_1-merror:0.42936	validation_1-mlogloss:1.89699
[532]	validation_0-merror:0.00596	validation_0-mlogloss:0.08383	validation_1-merror:0.42909	validation_1-mlogloss:1.89696
[533]	validation_0-merror:0.00596	validation_0-mlogloss:0.08382	validation_1-merror:0.42909	validation_1-mlogloss:1.89693
[534]	validation_0-merror:0.00596	validation_0-mlogloss:0.08381	validation_1-merror:0.42909	validation_1-mlogloss:1.89690
[535]	validation_0-merror:0.00596	validation_0-mlogloss:0.08380	validation_1-merror:0.42909	validation_1-mlogloss:1.89690
[536]	validation_0-merror:0.00596	validation_0-mlogloss:0.08378	validation_1-merror:0.42909	validation_1-mlogloss:1.89687
[537]	validation_0-merror:0.00596	validation_0-mlogloss:0.08378	validation_1-merror:0.42853	validation_1-mlogloss:1.89687
[538]	validation_0-merror:0.00596	validation_0-mlogloss:0.08376	validation_1-merror:0.42853	validation_1-mlogloss:1.89684
[539]	validation_0-merror:0.00596	validation_0-mlogloss:0.08373	validation_1-merror:0.42825	validation_1-mlogloss:1.89680
[540]	validation_0-merror:0.00596	validation_0-mlogloss:0.08371	validation_1-merror:0.42825	validation_1-mlogloss:1.89677
[541]	validation_0-merror:0.00596	validation_0-mlogloss:0.08368	validation_1-merror:0.42825	validation_1-mlogloss:1.89673
[542]	validation_0-merror:0.00596	validation_0-mlogloss:0.08367	validation_1-merror:0.42825	validation_1-mlogloss:1.89672
[543]	validation_0-merror:0.00596	validation_0-mlogloss:0.08365	validation_1-merror:0.42881	validation_1-mlogloss:1.89669
[544]	validation_0-merror:0.00596	validation_0-mlogloss:0.08364	validation_1-merror:0.42881	validation_1-mlogloss:1.89669
[545]	validation_0-merror:0.00596	validation_0-mlogloss:0.08362	validation_1-merror:0.42881	validation_1-mlogloss:1.89666
[546]	validation_0-merror:0.00596	validation_0-mlogloss:0.08359	validation_1-merror:0.42881	validation_1-mlogloss:1.89661
[547]	validation_0-merror:0.00596	validation_0-mlogloss:0.08358	validation_1-merror:0.42881	validation_1-mlogloss:1.89659
[548]	validation_0-merror:0.00596	validation_0-mlogloss:0.08356	validation_1-merror:0.42881	validation_1-mlogloss:1.89655
[549]	validation_0-merror:0.00596	validation_0-mlogloss:0.08352	validation_1-merror:0.42881	validation_1-mlogloss:1.89653
[550]	validation_0-merror:0.00596	validation_0-mlogloss:0.08351	validation_1-merror:0.42881	validation_1-mlogloss:1.89651
[551]	validation_0-merror:0.00596	validation_0-mlogloss:0.08348	validation_1-merror:0.42909	validation_1-mlogloss:1.89649
[552]	validation_0-merror:0.00596	validation_0-mlogloss:0.08347	validation_1-merror:0.42909	validation_1-mlogloss:1.89647
[553]	validation_0-merror:0.00596	validation_0-mlogloss:0.08345	validation_1-merror:0.42909	validation_1-mlogloss:1.89643
[554]	validation_0-merror:0.00596	validation_0-mlogloss:0.08342	validation_1-merror:0.42881	validation_1-mlogloss:1.89640
[555]	validation_0-merror:0.00596	validation_0-mlogloss:0.08341	validation_1-merror:0.42881	validation_1-mlogloss:1.89637
[556]	validation_0-merror:0.00596	validation_0-mlogloss:0.08338	validation_1-merror:0.42881	validation_1-mlogloss:1.89633
[557]	validation_0-merror:0.00596	validation_0-mlogloss:0.08335	validation_1-merror:0.42909	validation_1-mlogloss:1.89633
[558]	validation_0-merror:0.00596	validation_0-mlogloss:0.08334	validation_1-merror:0.42909	validation_1-mlogloss:1.89630
[559]	validation_0-merror:0.00596	validation_0-mlogloss:0.08332	validation_1-merror:0.42881	validation_1-mlogloss:1.89628
[560]	validation_0-merror:0.00596	validation_0-mlogloss:0.08331	validation_1-merror:0.42881	validation_1-mlogloss:1.89629
[561]	validation_0-merror:0.00596	validation_0-mlogloss:0.08329	validation_1-merror:0.42881	validation_1-mlogloss:1.89626
[562]	validation_0-merror:0.00596	validation_0-mlogloss:0.08327	validation_1-merror:0.42881	validation_1-mlogloss:1.89623
[563]	validation_0-merror:0.00596	validation_0-mlogloss:0.08325	validation_1-merror:0.42853	validation_1-mlogloss:1.89619
[564]	validation_0-merror:0.00596	validation_0-mlogloss:0.08324	validation_1-merror:0.42853	validation_1-mlogloss:1.89618
[565]	validation_0-merror:0.00596	validation_0-mlogloss:0.08321	validation_1-merror:0.42881	validation_1-mlogloss:1.89616
[566]	validation_0-merror:0.00596	validation_0-mlogloss:0.08319	validation_1-merror:0.42881	validation_1-mlogloss:1.89613
[567]	validation_0-merror:0.00596	validation_0-mlogloss:0.08317	validation_1-merror:0.42881	validation_1-mlogloss:1.89611
[568]	validation_0-merror:0.00596	validation_0-mlogloss:0.08313	validation_1-merror:0.42909	validation_1-mlogloss:1.89603
[569]	validation_0-merror:0.00596	validation_0-mlogloss:0.08312	validation_1-merror:0.42909	validation_1-mlogloss:1.89601
[570]	validation_0-merror:0.00596	validation_0-mlogloss:0.08309	validation_1-merror:0.42909	validation_1-mlogloss:1.89597
[571]	validation_0-merror:0.00596	validation_0-mlogloss:0.08308	validation_1-merror:0.42909	validation_1-mlogloss:1.89598
[572]	validation_0-merror:0.00596	validation_0-mlogloss:0.08305	validation_1-merror:0.42909	validation_1-mlogloss:1.89594
[573]	validation_0-merror:0.00596	validation_0-mlogloss:0.08304	validation_1-merror:0.42909	validation_1-mlogloss:1.89590
[574]	validation_0-merror:0.00596	validation_0-mlogloss:0.08303	validation_1-merror:0.42936	validation_1-mlogloss:1.89591
[575]	validation_0-merror:0.00596	validation_0-mlogloss:0.08299	validation_1-merror:0.42936	validation_1-mlogloss:1.89589
[576]	validation_0-merror:0.00596	validation_0-mlogloss:0.08295	validation_1-merror:0.42909	validation_1-mlogloss:1.89584
[577]	validation_0-merror:0.00596	validation_0-mlogloss:0.08293	validation_1-merror:0.42909	validation_1-mlogloss:1.89581
[578]	validation_0-merror:0.00596	validation_0-mlogloss:0.08292	validation_1-merror:0.42909	validation_1-mlogloss:1.89579
[579]	validation_0-merror:0.00596	validation_0-mlogloss:0.08291	validation_1-merror:0.42909	validation_1-mlogloss:1.89579
[580]	validation_0-merror:0.00596	validation_0-mlogloss:0.08289	validation_1-merror:0.42909	validation_1-mlogloss:1.89580
[581]	validation_0-merror:0.00596	validation_0-mlogloss:0.08287	validation_1-merror:0.42909	validation_1-mlogloss:1.89571
[582]	validation_0-merror:0.00596	validation_0-mlogloss:0.08286	validation_1-merror:0.42909	validation_1-mlogloss:1.89570
[583]	validation_0-merror:0.00596	validation_0-mlogloss:0.08283	validation_1-merror:0.42909	validation_1-mlogloss:1.89565
[584]	validation_0-merror:0.00596	validation_0-mlogloss:0.08280	validation_1-merror:0.42936	validation_1-mlogloss:1.89557
[585]	validation_0-merror:0.00596	validation_0-mlogloss:0.08278	validation_1-merror:0.42936	validation_1-mlogloss:1.89556
[586]	validation_0-merror:0.00596	validation_0-mlogloss:0.08275	validation_1-merror:0.42936	validation_1-mlogloss:1.89551
[587]	validation_0-merror:0.00596	validation_0-mlogloss:0.08274	validation_1-merror:0.42909	validation_1-mlogloss:1.89548
[588]	validation_0-merror:0.00596	validation_0-mlogloss:0.08272	validation_1-merror:0.42909	validation_1-mlogloss:1.89546
[589]	validation_0-merror:0.00596	validation_0-mlogloss:0.08271	validation_1-merror:0.42909	validation_1-mlogloss:1.89544
[590]	validation_0-merror:0.00596	validation_0-mlogloss:0.08268	validation_1-merror:0.42909	validation_1-mlogloss:1.89540
[591]	validation_0-merror:0.00596	validation_0-mlogloss:0.08267	validation_1-merror:0.42909	validation_1-mlogloss:1.89537
[592]	validation_0-merror:0.00596	validation_0-mlogloss:0.08265	validation_1-merror:0.42936	validation_1-mlogloss:1.89534
[593]	validation_0-merror:0.00596	validation_0-mlogloss:0.08263	validation_1-merror:0.42936	validation_1-mlogloss:1.89530
[594]	validation_0-merror:0.00596	validation_0-mlogloss:0.08261	validation_1-merror:0.42964	validation_1-mlogloss:1.89528
[595]	validation_0-merror:0.00596	validation_0-mlogloss:0.08259	validation_1-merror:0.42964	validation_1-mlogloss:1.89528
[596]	validation_0-merror:0.00596	validation_0-mlogloss:0.08257	validation_1-merror:0.42964	validation_1-mlogloss:1.89527
[597]	validation_0-merror:0.00596	validation_0-mlogloss:0.08256	validation_1-merror:0.42964	validation_1-mlogloss:1.89526
[598]	validation_0-merror:0.00596	validation_0-mlogloss:0.08255	validation_1-merror:0.42992	validation_1-mlogloss:1.89523
[599]	validation_0-merror:0.00596	validation_0-mlogloss:0.08253	validation_1-merror:0.42992	validation_1-mlogloss:1.89516
[600]	validation_0-merror:0.00596	validation_0-mlogloss:0.08250	validation_1-merror:0.42936	validation_1-mlogloss:1.89513
[601]	validation_0-merror:0.00596	validation_0-mlogloss:0.08247	validation_1-merror:0.42936	validation_1-mlogloss:1.89512
[602]	validation_0-merror:0.00596	validation_0-mlogloss:0.08244	validation_1-merror:0.42909	validation_1-mlogloss:1.89510
[603]	validation_0-merror:0.00596	validation_0-mlogloss:0.08243	validation_1-merror:0.42909	validation_1-mlogloss:1.89510
[604]	validation_0-merror:0.00596	validation_0-mlogloss:0.08242	validation_1-merror:0.42909	validation_1-mlogloss:1.89511
[605]	validation_0-merror:0.00596	validation_0-mlogloss:0.08240	validation_1-merror:0.42881	validation_1-mlogloss:1.89508
[606]	validation_0-merror:0.00596	validation_0-mlogloss:0.08237	validation_1-merror:0.42909	validation_1-mlogloss:1.89503
[607]	validation_0-merror:0.00596	validation_0-mlogloss:0.08236	validation_1-merror:0.42909	validation_1-mlogloss:1.89501
[608]	validation_0-merror:0.00596	validation_0-mlogloss:0.08232	validation_1-merror:0.42909	validation_1-mlogloss:1.89495
[609]	validation_0-merror:0.00596	validation_0-mlogloss:0.08231	validation_1-merror:0.42909	validation_1-mlogloss:1.89491
[610]	validation_0-merror:0.00596	validation_0-mlogloss:0.08229	validation_1-merror:0.42964	validation_1-mlogloss:1.89489
[611]	validation_0-merror:0.00596	validation_0-mlogloss:0.08226	validation_1-merror:0.42964	validation_1-mlogloss:1.89487
[612]	validation_0-merror:0.00596	validation_0-mlogloss:0.08223	validation_1-merror:0.42964	validation_1-mlogloss:1.89484
[613]	validation_0-merror:0.00596	validation_0-mlogloss:0.08221	validation_1-merror:0.42964	validation_1-mlogloss:1.89483
[614]	validation_0-merror:0.00596	validation_0-mlogloss:0.08220	validation_1-merror:0.42992	validation_1-mlogloss:1.89484
[615]	validation_0-merror:0.00596	validation_0-mlogloss:0.08217	validation_1-merror:0.42992	validation_1-mlogloss:1.89479
[616]	validation_0-merror:0.00596	validation_0-mlogloss:0.08215	validation_1-merror:0.42992	validation_1-mlogloss:1.89474
[617]	validation_0-merror:0.00596	validation_0-mlogloss:0.08214	validation_1-merror:0.42992	validation_1-mlogloss:1.89471
[618]	validation_0-merror:0.00596	validation_0-mlogloss:0.08212	validation_1-merror:0.42964	validation_1-mlogloss:1.89467
[619]	validation_0-merror:0.00596	validation_0-mlogloss:0.08209	validation_1-merror:0.42992	validation_1-mlogloss:1.89467
[620]	validation_0-merror:0.00596	validation_0-mlogloss:0.08206	validation_1-merror:0.42992	validation_1-mlogloss:1.89464
[621]	validation_0-merror:0.00596	validation_0-mlogloss:0.08204	validation_1-merror:0.42992	validation_1-mlogloss:1.89460
[622]	validation_0-merror:0.00596	validation_0-mlogloss:0.08203	validation_1-merror:0.42992	validation_1-mlogloss:1.89460
[623]	validation_0-merror:0.00596	validation_0-mlogloss:0.08201	validation_1-merror:0.42992	validation_1-mlogloss:1.89458
[624]	validation_0-merror:0.00596	validation_0-mlogloss:0.08200	validation_1-merror:0.42992	validation_1-mlogloss:1.89458
[625]	validation_0-merror:0.00596	validation_0-mlogloss:0.08198	validation_1-merror:0.42964	validation_1-mlogloss:1.89458
[626]	validation_0-merror:0.00596	validation_0-mlogloss:0.08196	validation_1-merror:0.43020	validation_1-mlogloss:1.89457
[627]	validation_0-merror:0.00596	validation_0-mlogloss:0.08195	validation_1-merror:0.42964	validation_1-mlogloss:1.89457
[628]	validation_0-merror:0.00596	validation_0-mlogloss:0.08194	validation_1-merror:0.42964	validation_1-mlogloss:1.89457
[629]	validation_0-merror:0.00596	validation_0-mlogloss:0.08193	validation_1-merror:0.42964	validation_1-mlogloss:1.89458
[630]	validation_0-merror:0.00596	validation_0-mlogloss:0.08191	validation_1-merror:0.42992	validation_1-mlogloss:1.89457
[631]	validation_0-merror:0.00596	validation_0-mlogloss:0.08189	validation_1-merror:0.42992	validation_1-mlogloss:1.89457
[632]	validation_0-merror:0.00596	validation_0-mlogloss:0.08188	validation_1-merror:0.42992	validation_1-mlogloss:1.89456
[633]	validation_0-merror:0.00596	validation_0-mlogloss:0.08186	validation_1-merror:0.42992	validation_1-mlogloss:1.89456
[634]	validation_0-merror:0.00596	validation_0-mlogloss:0.08185	validation_1-merror:0.42992	validation_1-mlogloss:1.89451
[635]	validation_0-merror:0.00596	validation_0-mlogloss:0.08182	validation_1-merror:0.42992	validation_1-mlogloss:1.89449
[636]	validation_0-merror:0.00596	validation_0-mlogloss:0.08180	validation_1-merror:0.42992	validation_1-mlogloss:1.89447
[637]	validation_0-merror:0.00596	validation_0-mlogloss:0.08179	validation_1-merror:0.42992	validation_1-mlogloss:1.89444
[638]	validation_0-merror:0.00596	validation_0-mlogloss:0.08178	validation_1-merror:0.42992	validation_1-mlogloss:1.89444
[639]	validation_0-merror:0.00596	validation_0-mlogloss:0.08177	validation_1-merror:0.42992	validation_1-mlogloss:1.89443
[640]	validation_0-merror:0.00596	validation_0-mlogloss:0.08176	validation_1-merror:0.42992	validation_1-mlogloss:1.89440
[641]	validation_0-merror:0.00596	validation_0-mlogloss:0.08174	validation_1-merror:0.42992	validation_1-mlogloss:1.89434
[642]	validation_0-merror:0.00596	validation_0-mlogloss:0.08173	validation_1-merror:0.42992	validation_1-mlogloss:1.89436
[643]	validation_0-merror:0.00596	validation_0-mlogloss:0.08171	validation_1-merror:0.43020	validation_1-mlogloss:1.89432
[644]	validation_0-merror:0.00596	validation_0-mlogloss:0.08169	validation_1-merror:0.43020	validation_1-mlogloss:1.89430
[645]	validation_0-merror:0.00596	validation_0-mlogloss:0.08166	validation_1-merror:0.43020	validation_1-mlogloss:1.89428
[646]	validation_0-merror:0.00596	validation_0-mlogloss:0.08164	validation_1-merror:0.43020	validation_1-mlogloss:1.89428
[647]	validation_0-merror:0.00596	validation_0-mlogloss:0.08162	validation_1-merror:0.43020	validation_1-mlogloss:1.89427
[648]	validation_0-merror:0.00596	validation_0-mlogloss:0.08160	validation_1-merror:0.43020	validation_1-mlogloss:1.89423
[649]	validation_0-merror:0.00591	validation_0-mlogloss:0.08158	validation_1-merror:0.43020	validation_1-mlogloss:1.89421
[650]	validation_0-merror:0.00591	validation_0-mlogloss:0.08156	validation_1-merror:0.43020	validation_1-mlogloss:1.89418
[651]	validation_0-merror:0.00591	validation_0-mlogloss:0.08153	validation_1-merror:0.43020	validation_1-mlogloss:1.89419
